MSA_1,MSA_2,MSA_3,MSA_4,MSA_5,MSA_6,MSA_7,MSA_8,MSA_9,MSA_10,MSA_11,MSA_12,MSA_13,MSA_14,MSA_15,MSA_16,MSA_17,MSA_18,MSA_19,MSA_20
12.19,15.88,12.47,12.85,12.37,13.54,12.14,14.47,13.99,13.08,13.63,14.66,15.49,12.94,13.93,13.94,12.36,12.59,14.5,12.66
12.34,16.23,12.65,12.96,12.37,14.13,12.14,15.08,14.05,13.11,14.3,15.02,14.22,12.89,14.38,14.35,11.85,12.78,14.64,12.98
12.62,16.46,12.76,13.22,12.47,14.53,12.34,15.86,14.11,13.35,14.48,15.24,14.44,13.67,15.16,15.82,12.22,13.49,15.1,12.55
13.01,17.19,13.36,14.15,12.9,14.85,12.67,16.61,14.9,13.9,15.39,17.27,14.72,14.2,15.52,17,13.51,14.21,15.32,13.07
13.44,17.18,13.87,15,13.48,15.88,12.99,17.68,15.02,13.91,15.48,16.6,14.75,14.69,15.15,17.49,15.85,14.55,16.13,13.21
13.97,17.5,14.47,15.61,14.09,16.36,13.56,18.27,15.04,14.96,16.44,19.79,15.15,14.96,15.26,17,14.53,15.18,16.39,14
13.97,17.43,14.86,15.74,14.78,16.96,13.7,19.37,15.21,15.62,16.75,19.99,15.42,15.64,15.51,17.79,15.05,15.48,17.07,14.46
14.98,18.01,15.34,16.15,15.1,17.13,13.74,18.55,15.67,16.36,17.74,19.39,15.36,15.88,16.03,17.8,15.18,15.83,17.12,14.83
15.16,18.5,15.66,16.5,15.2,17.75,14.16,18.94,15.47,16.4,17.56,18.91,15.91,15.92,15.87,19.45,15.82,17.14,17.53,15.37
15.51,18.95,15.93,16.87,15.41,18.07,14.54,19.46,15.98,16.76,17.86,18.51,16.87,15.98,15.93,19.14,15.45,17.17,17.89,16.14
15.49,19.38,15.99,17.27,15.56,18,15.02,20.42,16.59,16.72,17.72,18.2,17.09,16.53,15.75,19.22,15.44,17.31,17.76,15.97
15.74,19.76,16.23,17.63,15.57,18.18,14.91,20.21,16.89,16.73,17.63,19.03,16.85,16.3,16.43,17.64,15.9,17.37,17.79,15.6
16.07,20.48,16.41,18.26,16.12,18.41,14.87,20.21,17.65,17.18,18.5,19.07,16.99,16.39,16.39,18.52,16.65,16.93,17.95,16.07
16.5,21.28,16.61,18.13,16.29,18.78,14.65,20.18,17.57,17.27,19.19,20.14,17.36,17.34,16.91,18.82,16.88,16.95,18.54,16.72
17.15,21.73,17.22,18.77,17.15,18.79,15.51,19.85,17.84,17.72,19.35,20.9,19.11,18.93,17.73,21.68,18.07,17.65,19.03,17.62
17.85,22.27,17.92,19.19,17.72,19.46,16.37,19.53,18.15,19.25,19.45,22.22,18.57,19.61,19.56,21.65,18.57,18.34,20.18,17.39
18.55,22.34,19.4,20.44,18.55,20.09,17.67,21.4,19.05,20.31,20.28,22.7,20.15,19.76,20.03,21.03,19.08,19.03,20.77,18.24
19.66,23.39,20.28,21.07,19.17,21.02,17.97,21.74,19.79,20.74,21.86,25.32,20.9,20,20.35,21.51,18.23,20.36,21.66,18.24
20.8,24.26,21.12,22.38,20.26,22.11,19.57,22.74,20.86,21.18,22.21,26.77,22.84,20.8,20.89,23.07,19.75,21.87,22.13,20.01
22.06,26.55,21.33,22.72,20.81,23.27,19.95,22.79,21.18,21.54,21.54,26.41,21.21,21.76,21.73,24.61,20.44,22.93,23.88,20.68
23.71,27.57,23.26,24.22,22.46,24.78,21.08,24.2,22.6,22.7,22.96,27.96,21.96,24.33,23.88,26.12,22.08,24.16,25.48,22.1
24.72,29.13,24.34,25.4,23.76,26.44,22.47,26.19,24.02,23.84,25.24,30.24,23.96,25.77,24.93,27.49,22.76,25.7,26.38,23.41
